"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Pierre-Alain Frau","Centre-Forward",26,"Olympique Lyon","Ligue 1","Paris SG","Ligue 1","2006-2007",4500000,5000000
"Ricardo Rocha","Centre-Back",28,"Benfica","Liga NOS","Spurs","Premier League","2006-2007",3600000,5000000
"Johan Elmander","Centre-Forward",25,"Bröndby IF","Superligaen","Toulouse","Ligue 1","2006-2007",3500000,5000000
"Benoît Assou-Ekotto","Left-Back",22,"Lens","Ligue 1","Spurs","Premier League","2006-2007",2800000,5000000
"Pavel Pogrebnyak","Centre-Forward",23,"Tom Tomsk","Premier Liga","Zenit S-Pb","Premier Liga","2006-2007",2500000,5000000
"Mousa Dembélé","Central Midfield",18,"Willem II","Eredivisie","AZ Alkmaar","Eredivisie","2006-2007",1750000,5000000
"Denílson","Defensive Midfield",18,"São Paulo","Série A","Arsenal","Premier League","2006-2007",NA,5000000
"Edinson Cavani","Centre-Forward",19,"Danubio FC"," Uruguay","US Palermo","Serie A","2006-2007",NA,5000000
"Jan Vennegoor of Hesselink","Centre-Forward",27,"PSV Eindhoven","Eredivisie","Celtic","Premiership","2006-2007",8500000,4900000
"Per Mertesacker","Centre-Back",21,"Hannover 96","1.Bundesliga","Werder Bremen","1.Bundesliga","2006-2007",10000000,4700000
"Nelson Valdez","Centre-Forward",22,"Werder Bremen","1.Bundesliga","Bor. Dortmund","1.Bundesliga","2006-2007",5000000,4700000
"Riki","Centre-Forward",25,"Getafe CF","LaLiga","Dep. La Coruña","LaLiga","2006-2007",6000000,4640000
"Sébastien Squillaci","Centre-Back",25,"Monaco","Ligue 1","Olympique Lyon","Ligue 1","2006-2007",7500000,4500000
"Olivier Thomert","Left Midfield",26,"Lens","Ligue 1","Stade Rennais","Ligue 1","2006-2007",6500000,4500000
"Paulo André","Centre-Back",22,"Atlético-PR","Série A","Le Mans","Ligue 1","2006-2007",6000000,4500000
"Niko Kranjcar","Attacking Midfield",22,"Hajduk Split","1.HNL","Portsmouth","Premier League","2006-2007",5000000,4500000
"Afonso Alves","Centre-Forward",25,"Malmö FF","Allsvenskan","Heerenveen","Eredivisie","2006-2007",4500000,4500000
"Franck Queudrue","Left-Back",27,"Middlesbrough","Premier League","Fulham","Premier League","2006-2007",4500000,4500000
"Johann Vogel","Defensive Midfield",29,"AC Milan","Serie A","Real Betis","LaLiga","2006-2007",4500000,4500000
"Federico Insúa","Attacking Midfield",26,"Boca Juniors","Torneo Final","Bor. M'gladbach","1.Bundesliga","2006-2007",4500000,4500000
"Fitz Hall","Centre-Back",25,"Crystal Palace","Championship","Wigan","Premier League","2006-2007",4500000,4500000
"Deivid","Centre-Forward",26,"Sporting CP","Liga NOS","Fenerbahce","Süper Lig","2006-2007",3500000,4500000
"Yoann Gourcuff","Attacking Midfield",19,"Stade Rennais","Ligue 1","AC Milan","Serie A","2006-2007",3500000,4500000
"Greg Halford","Centre-Back",22,"Colchester Utd.","Championship","Reading","Premier League","2006-2007",400000,4500000
"Dodô","Centre-Forward",32,"Botafogo","Série A","Al-Ain FC"," United Arab Emirates","2006-2007",NA,4500000
"Cameron Jerome","Centre-Forward",19,"Cardiff","Championship","Birmingham","Championship","2006-2007",5000000,4450000
"Denny Landzaat","Central Midfield",30,"AZ Alkmaar","Eredivisie","Wigan","Premier League","2006-2007",7000000,4400000
"Andy Reid","Left Midfield",23,"Spurs","Premier League","Charlton","Premier League","2006-2007",5700000,4200000
"Calum Davenport","Centre-Back",24,"Spurs","Premier League","West Ham","Premier League","2006-2007",1500000,4200000
"Fábio Santos","Defensive Midfield",26,"Cruzeiro","Série A","Olympique Lyon","Ligue 1","2006-2007",NA,4200000
"Alex Frei","Centre-Forward",26,"Stade Rennais","Ligue 1","Bor. Dortmund","1.Bundesliga","2006-2007",10000000,4100000
"Simone Barone","Central Midfield",28,"US Palermo","Serie A","Torino","Serie A","2006-2007",6000000,4100000
"Milan Bisevac","Centre-Back",23,"Red Star","SuperLiga","Lens","Ligue 1","2006-2007",1000000,4100000
"Jason Roberts","Centre-Forward",28,"Wigan","Premier League","Blackburn","Premier League","2006-2007",3850000,4080000
"Salomon Kalou","Left Winger",20,"Feyenoord","Eredivisie","Chelsea","Premier League","2006-2007",8500000,4000000
"Mista","Centre-Forward",27,"Valencia CF","LaLiga","Atlético Madrid","LaLiga","2006-2007",8280000,4000000
"Jean-Alain Boumsong","Centre-Back",26,"Newcastle","Premier League","Juventus","Serie B","2006-2007",7500000,4000000
"Péguy Luyindula","Centre-Forward",27,"Marseille","Ligue 1","Paris SG","Ligue 1","2006-2007",5000000,4000000
"Matt Moussilou","Centre-Forward",24,"LOSC Lille","Ligue 1","OGC Nice","Ligue 1","2006-2007",5000000,4000000
"Mariano Pernía","Left-Back",29,"Getafe CF","LaLiga","Atlético Madrid","LaLiga","2006-2007",4500000,4000000
"Andreas Hinkel","Right-Back",24,"VfB Stuttgart","1.Bundesliga","Sevilla FC","LaLiga","2006-2007",4000000,4000000
"Frédéric Thomas","Central Midfield",25,"Le Mans","Ligue 1","AJ Auxerre","Ligue 1","2006-2007",4000000,4000000
"Moubarak Boussoufa","Attacking Midfield",21,"KAA Gent","Jupiler Pro League","RSC Anderlecht","Jupiler Pro League","2006-2007",4000000,4000000
"Caner Erkin","Left-Back",18,"Manisaspor","Süper Lig","CSKA Moscow","Premier Liga","2006-2007",4000000,4000000
"Koen Daerden","Central Midfield",24,"KRC Genk","Jupiler Pro League","Club Brugge","Jupiler Pro League","2006-2007",3750000,4000000
"Matías Vuoso","Centre-Forward",24,"Santos Laguna","Liga MX Clausura","América","Liga MX Clausura","2006-2007",2000000,4000000
"Nenê","Attacking Midfield",24,"Alavés","LaLiga2","Celta de Vigo","LaLiga","2006-2007",600000,4000000
"Salvador Cabañas","Centre-Forward",25,"Chiapas FC","Liga MX Clausura","América","Liga MX Clausura","2006-2007",NA,4000000
"Leandro Somoza","Defensive Midfield",25,"Vélez Sarsfield","Torneo Final","Villarreal CF","LaLiga","2006-2007",NA,4000000
"Álvaro Arbeloa","Right-Back",24,"Dep. La Coruña","LaLiga","Liverpool","Premier League","2006-2007",1300000,3900000
"Boubacar Sanogo","Centre-Forward",23,"1.FC K'lautern","2.Bundesliga","Hamburger SV","1.Bundesliga","2006-2007",4000000,3800000
"Francisco Fonseca","Centre-Forward",27,"Benfica","Liga NOS","Tigres UANL","Liga MX Clausura","2006-2007",2500000,3800000
"Massimo Gobbi","Left-Back",26,"Treviso","Serie B","Fiorentina","Serie A","2006-2007",2200000,3800000
"Matthew Kilgallon","Centre-Back",22,"Leeds","Championship","Sheffield Utd.","Premier League","2006-2007",100000,3800000
"Marco Ruben","Centre-Forward",20,"CA Rosario","Torneo Final","River Plate","Torneo Final","2006-2007",NA,3800000
"Madjid Bougherra","Centre-Back",24,"Sheff Wed","Championship","Charlton","Premier League","2006-2007",100000,3790000
"Jimmy Bullard","Central Midfield",27,"Wigan","Premier League","Fulham","Premier League","2006-2007",4500000,3750000
"Ricardinho","Attacking Midfield",30,"Corinthians","Série A","Besiktas","Süper Lig","2006-2007",3000000,3750000
"Shefki Kuqi","Centre-Forward",29,"Blackburn","Premier League","Crystal Palace","Championship","2006-2007",1750000,3750000
"Benni McCarthy","Centre-Forward",28,"FC Porto","Liga NOS","Blackburn","Premier League","2006-2007",6000000,3700000
"Rodolfo","Centre-Back",24,"Dynamo Kyiv","Premier Liga","Loko Moscow","Premier Liga","2006-2007",2500000,3700000
"Jonathan Santana","Central Midfield",24,"River Plate","Torneo Final","VfL Wolfsburg","1.Bundesliga","2006-2007",4500000,3600000
"Leonardo Pisculichi","Attacking Midfield",22,"RCD Mallorca","LaLiga","Al Arabi"," Qatar","2006-2007",1750000,3600000
"Konstantinos Katsouranis","Defensive Midfield",27,"AEK Athens","Super League","Benfica","Liga NOS","2006-2007",7000000,3500000
"Jiri Jarosik","Centre-Back",28,"Chelsea","Premier League","Celtic","Premiership","2006-2007",6500000,3500000
"Ronald Zubar","Centre-Back",20,"SM Caen","Ligue 2","Marseille","Ligue 1","2006-2007",3750000,3500000
"Roberto Guana","Central Midfield",25,"Brescia","Serie B","US Palermo","Serie A","2006-2007",3700000,3500000
"Jérémy Ménez","Second Striker",19,"FC Sochaux","Ligue 1","Monaco","Ligue 1","2006-2007",3500000,3500000
"Stefano Mauri","Attacking Midfield",26,"Udinese Calcio","Serie A","Lazio","Serie A","2006-2007",3000000,3500000
"Ricardo Osorio","Right-Back",26,"CD Cruz Azul","Liga MX Clausura","VfB Stuttgart","1.Bundesliga","2006-2007",3000000,3500000
"Francisco Fonseca","Centre-Forward",26,"CD Cruz Azul","Liga MX Clausura","Benfica","Liga NOS","2006-2007",2500000,3500000
"Diego Rivas","Central Midfield",26,"Getafe CF","LaLiga","Real Sociedad","LaLiga","2006-2007",1500000,3500000
"Gijs Luirink","Centre-Back",22,"FC Groningen","Eredivisie","AZ Alkmaar","Eredivisie","2006-2007",750000,3500000
"Claude Davis","Centre-Back",27,"Preston NE","Championship","Sheffield Utd.","Premier League","2006-2007",300000,3500000
"Daniel Montenegro","Attacking Midfield",27,"Saturn","Premier Liga","Independiente","Torneo Final","2006-2007",NA,3500000
"Nelson Rivas","Centre-Back",23,"Deportivo Cali"," Colombia","River Plate","Torneo Final","2006-2007",NA,3500000
"Pablo Vitti","Centre-Forward",21,"CA Rosario","Torneo Final","CA Banfield","Torneo Final","2006-2007",NA,3500000
"Rob Hulse","Centre-Forward",26,"Leeds","Championship","Sheffield Utd.","Premier League","2006-2007",1750000,3450000
"Christian Wilhelmsson","Right Winger",26,"RSC Anderlecht","Jupiler Pro League","FC Nantes","Ligue 1","2006-2007",7000000,3300000
"Daniele Bonera","Centre-Back",25,"Parma","Serie A","AC Milan","Serie A","2006-2007",6000000,3300000
"Daniel Niculae","Centre-Forward",23,"Rapid Bucharest","Liga 1","AJ Auxerre","Ligue 1","2006-2007",3300000,3300000
"Radhi Jaidi","Centre-Back",30,"Bolton","Premier League","Birmingham","Championship","2006-2007",2000000,3250000
"David Cotterill","Right Winger",18,"Bristol City","League One","Wigan","Premier League","2006-2007",400000,3200000
"Corrêa","Defensive Midfield",25,"Palmeiras","Série A","Dynamo Kyiv","Premier Liga","2006-2007",NA,3200000
"Pasquale Foggia","Attacking Midfield",23,"AC Milan","Serie A","Lazio","Serie A","2006-2007",2500000,3150000
"Johan Micoud","Attacking Midfield",32,"Werder Bremen","1.Bundesliga","G. Bordeaux","Ligue 1","2006-2007",8500000,3000000
"Steed Malbranque","Central Midfield",26,"Fulham","Premier League","Spurs","Premier League","2006-2007",8200000,3000000
"Marco Cassetti","Centre-Back",29,"Lecce","Serie B","AS Roma","Serie A","2006-2007",6000000,3000000
"Andreas Isaksson","Goalkeeper",24,"Stade Rennais","Ligue 1","Man City","Premier League","2006-2007",6000000,3000000
"Jaap Stam","Centre-Back",33,"AC Milan","Serie A","AFC Ajax","Eredivisie","2006-2007",5500000,3000000
"Juan Pablo Sorín","Left-Back",30,"Villarreal CF","LaLiga","Hamburger SV","1.Bundesliga","2006-2007",5500000,3000000
"Jan Kromkamp","Right-Back",25,"Liverpool","Premier League","PSV Eindhoven","Eredivisie","2006-2007",5000000,3000000
"Boško Jankovic","Right Winger",22,"Red Star","SuperLiga","RCD Mallorca","LaLiga","2006-2007",5000000,3000000
"Robert Green","Goalkeeper",26,"Norwich","Championship","West Ham","Premier League","2006-2007",5000000,3000000
"Luis Jiménez","Attacking Midfield",22,"Fiorentina","Serie A","Ternana","Serie C - B","2006-2007",5000000,3000000
"Markus Rosenberg","Centre-Forward",24,"AFC Ajax","Eredivisie","Werder Bremen","1.Bundesliga","2006-2007",4500000,3000000
"Bernardo Corradi","Centre-Forward",30,"Valencia CF","LaLiga","Man City","Premier League","2006-2007",4000000,3000000
"Lucas Biglia","Defensive Midfield",20,"Independiente","Torneo Final","RSC Anderlecht","Jupiler Pro League","2006-2007",4000000,3000000
"Luciano Figueroa","Centre-Forward",25,"River Plate","Torneo Final","Genoa","Serie B","2006-2007",3750000,3000000
"Thomas Gravesen","Defensive Midfield",30,"Real Madrid","LaLiga","Celtic","Premiership","2006-2007",3500000,3000000
"Erjon Bogdani","Centre-Forward",29,"Siena","Serie A","Chievo Verona","Serie A","2006-2007",3250000,3000000
"Carlton Cole","Centre-Forward",22,"Chelsea","Premier League","West Ham","Premier League","2006-2007",3000000,3000000
"Ivan Pelizzoli","Goalkeeper",26,"Reggina","Serie A","Loko Moscow","Premier Liga","2006-2007",3000000,3000000
"Amara Diané","Right Winger",23,"R. Strasbourg","Ligue 2","Paris SG","Ligue 1","2006-2007",3000000,3000000
"Cribari","Centre-Back",26,"Udinese Calcio","Serie A","Lazio","Serie A","2006-2007",3000000,3000000
"Leandro Gracián","Attacking Midfield",23,"Vélez Sarsfield","Torneo Final","Monterrey","Liga MX Clausura","2006-2007",3000000,3000000
"Yohan Hautcoeur","Central Midfield",24,"Le Mans","Ligue 1","Saint-Étienne","Ligue 1","2006-2007",3000000,3000000
"José Manuel Jurado","Attacking Midfield",20,"Real Madrid","LaLiga","Atlético Madrid","LaLiga","2006-2007",3000000,3000000
"Amdy Fayé","Defensive Midfield",29,"Newcastle","Premier League","Charlton","Premier League","2006-2007",2500000,3000000
"André Ooijer","Centre-Back",32,"PSV Eindhoven","Eredivisie","Blackburn","Premier League","2006-2007",2500000,3000000
"Abdoulaye Fayé","Centre-Back",28,"Lens","Ligue 1","Bolton","Premier League","2006-2007",2400000,3000000
"Arthur Boka","Left-Back",23,"R. Strasbourg","Ligue 2","VfB Stuttgart","1.Bundesliga","2006-2007",2350000,3000000
"Nenad Kovacevic","Defensive Midfield",25,"Red Star","SuperLiga","Lens","Ligue 1","2006-2007",2000000,3000000
"Pascal Cygan","Centre-Back",32,"Arsenal","Premier League","Villarreal CF","LaLiga","2006-2007",1400000,3000000
"Clint Dempsey","Second Striker",23,"Revolution","MLS","Fulham","Premier League","2006-2007",1000000,3000000
"Pablo Barrientos","Right Winger",21,"San Lorenzo","Torneo Final","FK Moskau","Premier Liga","2006-2007",1000000,3000000
"Michel Bastos","Left Midfield",22,"Atlético-PR","Série A","LOSC Lille","Ligue 1","2006-2007",1000000,3000000
"Aílton","Centre-Forward",22,"Örgryte","Superettan","FC Copenhagen","Superligaen","2006-2007",1000000,3000000
"Christian Maggio","Right-Back",24,"Fiorentina","Serie A","Sampdoria","Serie A","2006-2007",800000,3000000
"Zdravko Kuzmanovic","Central Midfield",19,"FC Basel","Super League","Fiorentina","Serie A","2006-2007",800000,3000000
"Gonzalo Vargas","Centre-Forward",24,"Gimnasia","Torneo Final","Monaco","Ligue 1","2006-2007",450000,3000000
"Kevin Thomson","Central Midfield",22,"Hibernian FC","Premiership","Rangers","Premiership","2006-2007",450000,3000000
"George Ogararu","Right-Back",26,"FCS Bucharest","Liga 1","AFC Ajax","Eredivisie","2006-2007",300000,3000000
"Anthony Stokes","Centre-Forward",18,"Arsenal U23"," England","Sunderland","Championship","2006-2007",100000,3000000
"Alexis Sánchez","Left Winger",17,"Cobreloa"," Chile","Udinese Calcio","Serie A","2006-2007",50000,3000000
"Bolívar","Centre-Back",25,"Internacional","Série A","Monaco","Ligue 1","2006-2007",NA,3000000
"Kauê","Left-Back",22,"Ituano"," Brazil","Konyaspor","Süper Lig","2006-2007",NA,3000000
"Juan Pablo Pino","Right Winger",19,"Indep. Medellín"," Colombia","Monaco","Ligue 1","2006-2007",NA,3000000
"Ryan Donk","Defensive Midfield",20,"RKC Waalwijk","Eredivisie","AZ Alkmaar","Eredivisie","2006-2007",NA,3000000
"Luiz Adriano","Centre-Forward",19,"Internacional","Série A","Shakhtar D.","Premier Liga","2006-2007",NA,3000000
"Tinga","Central Midfield",28,"Internacional","Série A","Bor. Dortmund","1.Bundesliga","2006-2007",3000000,2900000
"Mohamed Zidan","Second Striker",25,"Werder Bremen","1.Bundesliga","1.FSV Mainz 05","1.Bundesliga","2006-2007",3000000,2800000
"Djimi Traoré","Centre-Back",26,"Liverpool","Premier League","Charlton","Premier League","2006-2007",2500000,2800000
"Karim Haggui","Centre-Back",22,"R. Strasbourg","Ligue 2","Bay. Leverkusen","1.Bundesliga","2006-2007",4000000,2780000
"Marcelinho Paraíba","Attacking Midfield",31,"Trabzonspor","Süper Lig","VfL Wolfsburg","1.Bundesliga","2006-2007",10000000,2750000
"Aleksandar Lukovic","Centre-Back",23,"Red Star","SuperLiga","Udinese Calcio","Serie A","2006-2007",3000000,2700000
"Gabriel Paletta","Centre-Back",20,"CA Banfield","Torneo Final","Liverpool","Premier League","2006-2007",3000000,2700000
"Luton Shelton","Left Winger",21,"Helsingborg","Allsvenskan","Sheffield Utd.","Premier League","2006-2007",1300000,2700000
"Yuki Abe","Defensive Midfield",25,"JEF Utd. Chiba","J1 League","Urawa Reds","J1 League","2006-2007",400000,2700000
"Matías Vuoso","Centre-Forward",25,"América","Liga MX Clausura","Santos Laguna","Liga MX Clausura","2006-2007",2000000,2650000
"Marko Pantelic","Centre-Forward",27,"Red Star","SuperLiga","Hertha BSC","1.Bundesliga","2006-2007",3800000,2600000
"Razvan Cocis","Central Midfield",23,"Sheriff"," Moldova","Loko Moscow","Premier Liga","2006-2007",325000,2600000
"Marcelinho Paraíba","Attacking Midfield",31,"Hertha BSC","1.Bundesliga","Trabzonspor","Süper Lig","2006-2007",10000000,2500000
"Modeste M'Bami","Defensive Midfield",23,"Paris SG","Ligue 1","Marseille","Ligue 1","2006-2007",5000000,2500000
"Kevin Kilbane","Left Midfield",29,"Everton","Premier League","Wigan","Premier League","2006-2007",4500000,2500000
"Angelos Charisteas","Centre-Forward",26,"AFC Ajax","Eredivisie","Feyenoord","Eredivisie","2006-2007",4000000,2500000
"Luigi Pieroni","Centre-Forward",26,"AJ Auxerre","Ligue 1","FC Nantes","Ligue 1","2006-2007",4000000,2500000
"Fernando Torres","Centre-Forward",23,"Atlético Madrid","LaLiga","Liverpool","Premier League","2007-2008",30000000,38000000
"Arjen Robben","Right Winger",23,"Chelsea","Premier League","Real Madrid","LaLiga","2007-2008",22800000,35000000
"Anderson","Central Midfield",19,"FC Porto","Liga NOS","Man Utd","Premier League","2007-2008",25000000,31500000
"Pepe","Centre-Back",24,"FC Porto","Liga NOS","Real Madrid","LaLiga","2007-2008",30000000,30000000
"Franck Ribéry","Left Winger",24,"Marseille","Ligue 1","Bayern Munich ","1.Bundesliga","2007-2008",23000000,30000000
"Wesley Sneijder","Attacking Midfield",23,"AFC Ajax","Eredivisie","Real Madrid","LaLiga","2007-2008",16000000,27000000
"Nani","Left Winger",20,"Sporting CP","Liga NOS","Man Utd","Premier League","2007-2008",25000000,25500000
"Owen Hargreaves","Defensive Midfield",26,"Bayern Munich ","1.Bundesliga","Man Utd","Premier League","2007-2008",25000000,25000000
"Darren Bent","Centre-Forward",23,"Charlton","Championship","Spurs","Premier League","2007-2008",7500000,24750000
